"currency","iso_code","exponent","is_crypto"
"AED",784,2,FALSE
"AFN",971,2,FALSE
"ALL",8,2,FALSE
"AMD",51,2,FALSE
"ANG",532,2,FALSE
"AOA",973,2,FALSE
"ARS",32,2,FALSE
"AUD",36,2,FALSE
"AWG",533,2,FALSE
"AZN",944,2,FALSE
"BAM",977,2,FALSE
"BBD",52,2,FALSE
"BDT",50,2,FALSE
"BGN",975,2,FALSE
"BHD",48,3,FALSE
"BIF",108,0,FALSE
"BMD",60,2,FALSE
"BND",96,2,FALSE
"BOB",68,2,FALSE
"BOV",984,2,FALSE
"BRL",986,2,FALSE
"BSD",44,2,FALSE
"BTC",,8,TRUE
"BTN",64,2,FALSE
"BTS",,,TRUE
"BWP",72,2,FALSE
"BYN",933,2,FALSE
"BYR",974,0,FALSE
"BZD",84,2,FALSE
"CAD",124,2,FALSE
"CDF",976,2,FALSE
"CHE",947,2,FALSE
"CHF",756,2,FALSE
"CHW",948,2,FALSE
"CLF",990,4,FALSE
"CLP",152,0,FALSE
"CNH",,,FALSE
"CNY",156,2,FALSE
"COP",170,2,FALSE
"COU",970,2,FALSE
"CRC",188,2,FALSE
"CUC",931,2,FALSE
"CUP",192,2,FALSE
"CVE",132,2,FALSE
"CZK",203,2,FALSE
"DASH",,,TRUE
"DJF",262,0,FALSE
"DKK",208,2,FALSE
"DOGE",,,TRUE
"DOP",214,2,FALSE
"DZD",12,2,FALSE
"EAC",,,FALSE
"EEK",,2,FALSE
"EGP",818,2,FALSE
"EMC",,,TRUE
"ERN",232,2,FALSE
"ETB",230,2,FALSE
"ETH",,8,TRUE
"EUR",978,2,FALSE
"FCT",,,TRUE
"FJD",242,2,FALSE
"FKP",238,2,FALSE
"FTC",,,TRUE
"GBP",826,2,FALSE
"GEL",981,2,FALSE
"GGP",,2,FALSE
"GHC",,2,FALSE
"GHS",936,2,FALSE
"GIP",292,2,FALSE
"GMD",270,2,FALSE
"GNF",324,0,FALSE
"GTQ",320,2,FALSE
"GYD",328,2,FALSE
"HKD",344,2,FALSE
"HNL",340,2,FALSE
"HRK",191,2,FALSE
"HTG",332,2,FALSE
"HUF",348,2,FALSE
"IDR",360,2,FALSE
"ILS",376,2,FALSE
"IMP",,2,FALSE
"INR",356,2,FALSE
"IQD",368,3,FALSE
"IRR",364,2,FALSE
"ISK",352,0,FALSE
"JEP",,2,FALSE
"JMD",388,2,FALSE
"JOD",400,3,FALSE
"JPY",392,0,FALSE
"KES",404,2,FALSE
"KGS",417,2,FALSE
"KHR",116,2,FALSE
"KMF",174,0,FALSE
"KPW",408,2,FALSE
"KRW",410,0,FALSE
"KWD",414,3,FALSE
"KYD",136,2,FALSE
"KZT",398,2,FALSE
"LAK",418,2,FALSE
"LBP",422,2,FALSE
"LD",,,FALSE
"LKR",144,2,FALSE
"LRD",430,2,FALSE
"LSL",426,2,FALSE
"LTC",,8,TRUE
"LTL",,2,FALSE
"LVL",,2,FALSE
"LYD",434,3,FALSE
"MAD",504,2,FALSE
"MDL",498,2,FALSE
"MGA",969,2,FALSE
"MKD",807,2,FALSE
"MMK",104,2,FALSE
"MNT",496,2,FALSE
"MOP",446,2,FALSE
"MRO",478,2,FALSE
"MUR",480,2,FALSE
"MVR",462,2,FALSE
"MWK",454,2,FALSE
"MXN",484,2,FALSE
"MXV",979,2,FALSE
"MYR",458,2,FALSE
"MZN",943,2,FALSE
"NAD",516,2,FALSE
"NGN",566,2,FALSE
"NIO",558,2,FALSE
"NMC",,,TRUE
"NOK",578,2,FALSE
"NPR",524,2,FALSE
"NVC",,,TRUE
"NXT",,,TRUE
"NZD",554,2,FALSE
"OMR",512,3,FALSE
"PAB",590,2,FALSE
"PEN",604,2,FALSE
"PGK",598,2,FALSE
"PHP",608,2,FALSE
"PKR",586,2,FALSE
"PLN",985,2,FALSE
"PPC",,,TRUE
"PYG",600,0,FALSE
"QAR",634,2,FALSE
"RON",946,2,FALSE
"RSD",941,2,FALSE
"RUB",643,2,FALSE
"RUR",,2,FALSE
"RWF",646,0,FALSE
"SAR",682,2,FALSE
"SBD",90,2,FALSE
"SCR",690,2,FALSE
"SDG",938,2,FALSE
"SEK",752,2,FALSE
"SGD",702,2,FALSE
"SHP",654,2,FALSE
"SLL",694,2,FALSE
"SOS",706,2,FALSE
"SRD",968,2,FALSE
"SSP",728,2,FALSE
"STD",678,2,FALSE
"STR",,,TRUE
"SVC",222,2,FALSE
"SYP",760,2,FALSE
"SZL",748,2,FALSE
"THB",764,2,FALSE
"TJS",972,2,FALSE
"TMT",934,2,FALSE
"TND",788,3,FALSE
"TOP",776,2,FALSE
"TRL",,0,FALSE
"TRY",949,2,FALSE
"TTD",780,2,FALSE
"TWD",901,2,FALSE
"TZS",834,2,FALSE
"UAH",980,2,FALSE
"UGX",800,0,FALSE
"USD",840,2,FALSE
"USN",997,2,FALSE
"UYI",940,0,FALSE
"UYU",858,2,FALSE
"UZS",860,2,FALSE
"VEF",937,2,FALSE
"VEF_BLKMKT",,,FALSE
"VEF_DICOM",,,FALSE
"VEF_DIPRO",,,FALSE
"VND",704,0,FALSE
"VTC",,,TRUE
"VUV",548,0,FALSE
"WST",882,2,FALSE
"XAF",950,0,FALSE
"XAG",,,FALSE
"XAU",,,FALSE
"XCD",951,2,FALSE
"XDR",960,0,FALSE
"XMR",,,TRUE
"XOF",952,0,FALSE
"XPD",,,FALSE
"XPF",953,0,FALSE
"XPM",,,TRUE
"XPT",,,FALSE
"XSU",994,0,FALSE
"XUA",965,0,FALSE
"YER",886,2,FALSE
"ZAR",710,2,FALSE
"ZMW",967,2,FALSE
"ZWD",,2,FALSE
"ZWL",932,2,FALSE
"XRP",,6,TRUE
"BCH",,8,TRUE
